"ID_ENTITY","year","vals","lon","lat"
"856",10000,-0.522344350814819,25.5,43.5
"856",11000,5.45555591583252,25.5,43.5
"856",12000,-1.76608753204346,25.5,43.5
"857",100,0,25.5,44.5
"857",1000,11.2617797851562,25.5,44.5
"857",2000,15.1994180679321,25.5,44.5
"857",3000,12.9503622055054,25.5,44.5
"857",4000,17.0616836547852,25.5,44.5
"857",5000,20.3307619094849,25.5,44.5
"857",6000,23.0304250717163,25.5,44.5
"857",7000,15.3369445800781,25.5,44.5
"857",8000,18.8168792724609,25.5,44.5
"857",9000,19.6846256256104,25.5,44.5
"857",10000,3.27487134933472,25.5,44.5
"857",11000,6.57530117034912,25.5,44.5
"857",12000,-0.52203369140625,25.5,44.5
"858",100,0,25.5,45.5
"858",1000,2.38351885477702,25.5,45.5
"858",2000,1.6564146677653,25.5,45.5
"858",3000,2.24216143290202,25.5,45.5
"858",4000,2.51220385233562,25.5,45.5
"858",5000,-1.79578717549641,25.5,45.5
"858",6000,3.74252096811931,25.5,45.5
"858",7000,2.65294329325359,25.5,45.5
"858",8000,8.55502573649089,25.5,45.5
"858",9000,6.82901827494304,25.5,45.5
"858",10000,-4.30520375569661,25.5,45.5
"858",11000,-24.6665671666463,25.5,45.5
"858",12000,-32.2646621068319,25.5,45.5
"859",100,0,25.5,46.5
"859",1000,2.51056543986003,25.5,46.5
"859",2000,2.11957422892253,25.5,46.5
"859",3000,2.87389818827312,25.5,46.5
"859",4000,2.52998415629069,25.5,46.5
"859",5000,-1.86715634663899,25.5,46.5
"859",6000,4.11018435160319,25.5,46.5
"859",7000,5.44417635599773,25.5,46.5
"859",8000,9.92734400431316,25.5,46.5
"859",9000,7.31560961405437,25.5,46.5
"859",10000,0.355893770853683,25.5,46.5
"859",11000,-24.1622765858968,25.5,46.5
"859",12000,-35.8540681203206,25.5,46.5
"86",100,0,-2.5,47.5
"86",1000,2.93610382080078,-2.5,47.5
"86",2000,8.75436687469482,-2.5,47.5
"86",3000,19.5627183914185,-2.5,47.5
"86",4000,26.9677333831787,-2.5,47.5
"86",5000,29.0146188735962,-2.5,47.5
"86",6000,26.1295232772827,-2.5,47.5
"86",7000,11.2999587059021,-2.5,47.5
"86",8000,20.2203722000122,-2.5,47.5
"86",9000,35.4852914810181,-2.5,47.5
"86",10000,24.0729808807373,-2.5,47.5
"86",11000,11.1683521270752,-2.5,47.5
"86",12000,-1.50870990753174,-2.5,47.5
"860",100,0,25.5,47.5
"860",1000,2.65995915730794,25.5,47.5
"860",2000,2.92399724324544,25.5,47.5
"860",3000,2.97660764058431,25.5,47.5
"860",4000,3.27208073933919,25.5,47.5
"860",5000,-1.26063982645671,25.5,47.5
"860",6000,5.31927235921223,25.5,47.5
"860",7000,7.06194814046223,25.5,47.5
"860",8000,11.1100323994954,25.5,47.5
"860",9000,7.6415360768636,25.5,47.5
"860",10000,0.771304448445633,25.5,47.5
"860",11000,-23.9095913569133,25.5,47.5
"860",12000,-36.5826231638591,25.5,47.5
"861",100,0,25.5,48.5
"861",1000,15.6434313456217,25.5,48.5
"861",2000,19.5206514994303,25.5,48.5
"861",3000,19.0593268076579,25.5,48.5
"861",4000,23.1991907755534,25.5,48.5
"861",5000,23.3158880869548,25.5,48.5
"861",6000,26.3070723215739,25.5,48.5
"861",7000,25.5150133768717,25.5,48.5
"861",8000,26.0093523661296,25.5,48.5
"861",9000,23.3070913950602,25.5,48.5
"861",10000,15.5329786936442,25.5,48.5
"861",11000,6.64421526590983,25.5,48.5
"861",12000,-0.236207326253258,25.5,48.5
"862",100,0,25.5,49.5
"862",1000,15.6151701609294,25.5,49.5
"862",2000,19.4153582255046,25.5,49.5
"862",3000,19.0309511820475,25.5,49.5
"862",4000,22.7771650950114,25.5,49.5
"862",5000,21.7346579233805,25.5,49.5
"862",6000,25.011677424113,25.5,49.5
"862",7000,25.9066931406657,25.5,49.5
"862",8000,25.5438849131266,25.5,49.5
"862",9000,22.2891985575358,25.5,49.5
"862",10000,15.0293394724528,25.5,49.5
"862",11000,3.53128592173258,25.5,49.5
"862",12000,-4.55122502644857,25.5,49.5
"863",100,0,25.5,50.5
"863",1000,15.7359730402629,25.5,50.5
"863",2000,21.718708674113,25.5,50.5
"863",3000,20.9732157389323,25.5,50.5
"863",4000,24.7492453257243,25.5,50.5
"863",5000,24.8009192148844,25.5,50.5
"863",6000,27.147980372111,25.5,50.5
"863",7000,27.2697817484538,25.5,50.5
"863",8000,26.4828669230143,25.5,50.5
"863",9000,24.2284666697184,25.5,50.5
"863",10000,17.007451693217,25.5,50.5
"863",11000,7.13610331217448,25.5,50.5
"863",12000,3.22589747111002,25.5,50.5
"864",100,0,25.5,51.5
"864",1000,14.7165740331014,25.5,51.5
"864",2000,22.1616795857747,25.5,51.5
"864",3000,21.4664929707845,25.5,51.5
"864",4000,24.6873792012533,25.5,51.5
"864",5000,25.0164731343587,25.5,51.5
"864",6000,27.0733235677083,25.5,51.5
"864",7000,27.0018227895101,25.5,51.5
"864",8000,25.9527314503988,25.5,51.5
"864",9000,24.1439946492513,25.5,51.5
"864",10000,16.8565953572591,25.5,51.5
"864",11000,6.86375745137533,25.5,51.5
"864",12000,5.23983510335287,25.5,51.5
"865",100,0,25.5,52.5
"865",1000,13.741294225057,25.5,52.5
"865",2000,22.1622918446859,25.5,52.5
"865",3000,21.6966241200765,25.5,52.5
"865",4000,24.2041447957357,25.5,52.5
"865",5000,24.4363377888997,25.5,52.5
"865",6000,26.6007340749105,25.5,52.5
"865",7000,26.4116814931234,25.5,52.5
"865",8000,25.2155907948812,25.5,52.5
"865",9000,23.4864381154378,25.5,52.5
"865",10000,15.7999223073324,25.5,52.5
"865",11000,5.16570313771566,25.5,52.5
"865",12000,4.65649541219076,25.5,52.5
"866",100,0,25.5,53.5
"866",1000,13.1554419199626,25.5,53.5
"866",2000,21.8546206156413,25.5,53.5
"866",3000,21.6538302103678,25.5,53.5
"866",4000,23.438715616862,25.5,53.5
"866",5000,23.1504351298014,25.5,53.5
"866",6000,25.8757654825846,25.5,53.5
"866",7000,25.6502596537272,25.5,53.5
"866",8000,24.3723837534587,25.5,53.5
"866",9000,22.1968905131022,25.5,53.5
"866",10000,13.3706499735514,25.5,53.5
"866",11000,2.00067297617594,25.5,53.5
"866",12000,1.01443926493327,25.5,53.5
"867",100,0,25.5,54.5
"867",1000,12.7172609965006,25.5,54.5
"867",2000,21.2020250956217,25.5,54.5
"867",3000,21.1566149393717,25.5,54.5
"867",4000,22.2839399973551,25.5,54.5
"867",5000,21.2975317637126,25.5,54.5
"867",6000,24.9584108988444,25.5,54.5
"867",7000,24.5597769419352,25.5,54.5
"867",8000,23.3587385813395,25.5,54.5
"867",9000,20.183603922526,25.5,54.5
"867",10000,9.24442259470622,25.5,54.5
"867",11000,-2.34961732228597,25.5,54.5
"867",12000,-5.06188138326009,25.5,54.5
"868",100,0,25.5,55.5
"868",1000,11.5732612609863,25.5,55.5
"868",2000,21.3486652374268,25.5,55.5
"868",3000,21.8572330474854,25.5,55.5
"868",4000,22.2019844055176,25.5,55.5
"868",5000,21.5915241241455,25.5,55.5
"868",6000,25.6800003051758,25.5,55.5
"868",7000,23.9369869232178,25.5,55.5
"868",8000,23.6499862670898,25.5,55.5
"868",9000,19.5592193603516,25.5,55.5
"868",10000,8.52629852294922,25.5,55.5
"868",11000,-3.58530330657959,25.5,55.5
"868",12000,-5.50363159179688,25.5,55.5
"869",100,0,25.5,56.5
"869",1000,10.8232332865397,25.5,56.5
"869",2000,21.3986517588298,25.5,56.5
"869",3000,22.4222723642985,25.5,56.5
"869",4000,22.0800692240397,25.5,56.5
"869",5000,21.5449358622233,25.5,56.5
"869",6000,26.313055674235,25.5,56.5
"869",7000,23.3506247202555,25.5,56.5
"869",8000,24.1135946909587,25.5,56.5
"869",9000,18.3347136179606,25.5,56.5
"869",10000,6.2619825998942,25.5,56.5
"869",11000,-5.78161938985189,25.5,56.5
"869",12000,-8.35002072652181,25.5,56.5
"87",100,0,-2.5,48.5
"87",1000,1.40419101715088,-2.5,48.5
"87",2000,6.63294219970703,-2.5,48.5
"87",3000,17.3518877029419,-2.5,48.5
"87",4000,24.9081516265869,-2.5,48.5
"87",5000,27.1006164550781,-2.5,48.5
"87",6000,26.7226800918579,-2.5,48.5
"87",7000,12.6904211044312,-2.5,48.5
"87",8000,22.4454145431519,-2.5,48.5
"87",9000,35.5805110931396,-2.5,48.5
"87",10000,25.2501802444458,-2.5,48.5
"87",11000,7.12455940246582,-2.5,48.5
"87",12000,-8.16430854797363,-2.5,48.5
"870",100,0,25.5,57.5
"870",1000,10.285727818807,25.5,57.5
"870",2000,21.4145234425863,25.5,57.5
"870",3000,22.9051411946615,25.5,57.5
"870",4000,22.0032857259115,25.5,57.5
"870",5000,21.4486134847005,25.5,57.5
"870",6000,26.8868039449056,25.5,57.5
"870",7000,22.7924512227376,25.5,57.5
"870",8000,24.7151997884115,25.5,57.5
"870",9000,16.7888139088949,25.5,57.5
"870",10000,3.33404000600179,25.5,57.5
"870",11000,-8.27143828074137,25.5,57.5
"870",12000,-12.1493326822917,25.5,57.5
"871",100,0,25.5,58.5
"871",1000,9.15445836385091,25.5,58.5
"871",2000,19.9108556111654,25.5,58.5
"871",3000,21.5669759114583,25.5,58.5
"871",4000,20.3070824940999,25.5,58.5
"871",5000,19.4576886494954,25.5,58.5
"871",6000,25.54656346639,25.5,58.5
"871",7000,20.7885583241781,25.5,58.5
"871",8000,23.6686662038167,25.5,58.5
"871",9000,13.391082127889,25.5,58.5
"871",10000,-2.00774161020914,25.5,58.5
"871",11000,-13.1085726420085,25.5,58.5
"871",12000,-19.4424883524577,25.5,58.5
"872",100,0,25.5,59.5
"872",1000,7.21865717569987,25.5,59.5
"872",2000,18.4952494303385,25.5,59.5
"872",3000,20.5435911814372,25.5,59.5
"872",4000,18.9715105692546,25.5,59.5
"872",5000,18.3832060496012,25.5,59.5
"872",6000,24.6630407969157,25.5,59.5
"872",7000,19.1391169230143,25.5,59.5
"872",8000,23.0330435434977,25.5,59.5
"872",9000,10.6883818308512,25.5,59.5
"872",10000,NA,25.5,59.5
"872",11000,NA,25.5,59.5
"872",12000,NA,25.5,59.5
"873",100,0,25.5,60.5
"873",1000,6.64706834157308,25.5,60.5
"873",2000,17.552459081014,25.5,60.5
"873",3000,19.6951707204183,25.5,60.5
"873",4000,18.0755551656087,25.5,60.5
"873",5000,17.4965833028158,25.5,60.5
"873",6000,23.6392377217611,25.5,60.5
"873",7000,21.3287010192871,25.5,60.5
"873",8000,NA,25.5,60.5
"873",9000,NA,25.5,60.5
"873",10000,NA,25.5,60.5
"873",11000,NA,25.5,60.5
"873",12000,NA,25.5,60.5
"874",100,0,25.5,61.5
"874",1000,6.07882340749105,25.5,61.5
"874",2000,15.7790311177572,25.5,61.5
"874",3000,17.7016518910726,25.5,61.5
"874",4000,16.398780186971,25.5,61.5
"874",5000,16.0116589864095,25.5,61.5
"874",6000,21.7752240498861,25.5,61.5
"874",7000,15.9138120015462,25.5,61.5
"874",8000,NA,25.5,61.5
"874",9000,NA,25.5,61.5
"874",10000,NA,25.5,61.5
"874",11000,NA,25.5,61.5
"874",12000,NA,25.5,61.5
"875",100,0,25.5,62.5
"875",1000,6.80166212717692,25.5,62.5
"875",2000,13.9158522288005,25.5,62.5
"875",3000,15.1143976847331,25.5,62.5
"875",4000,14.7073122660319,25.5,62.5
"875",5000,14.7201639811198,25.5,62.5
"875",6000,19.7924448649089,25.5,62.5
"875",7000,14.2202393213908,25.5,62.5
"875",8000,19.7203566233317,25.5,62.5
"875",9000,3.81505457560221,25.5,62.5
"875",10000,NA,25.5,62.5
"875",11000,NA,25.5,62.5
"875",12000,NA,25.5,62.5
"876",100,0,25.5,63.5
"876",1000,6.58129755655924,25.5,63.5
"876",2000,12.5714127222697,25.5,63.5
"876",3000,13.7952124277751,25.5,63.5
"876",4000,14.0118490854899,25.5,63.5
"876",5000,14.693577448527,25.5,63.5
"876",6000,18.6414267222087,25.5,63.5
"876",7000,13.1552988688151,25.5,63.5
"876",8000,19.1069666544596,25.5,63.5
"876",9000,NA,25.5,63.5
"876",10000,NA,25.5,63.5
"876",11000,NA,25.5,63.5
"876",12000,NA,25.5,63.5
"879",100,0,25.5,66.5
"879",1000,8.31029891967773,25.5,66.5
"879",2000,9.28520774841309,25.5,66.5
"879",3000,10.7116365432739,25.5,66.5
"879",4000,13.0954322814941,25.5,66.5
"879",5000,16.1886253356934,25.5,66.5
"879",6000,15.8920812606812,25.5,66.5
"879",7000,15.9739201863607,25.5,66.5
"879",8000,NA,25.5,66.5
"879",9000,NA,25.5,66.5
"879",10000,NA,25.5,66.5
"879",11000,NA,25.5,66.5
"879",12000,NA,25.5,66.5
